r_left,r_right,b_left,b_right,u_left,u_right,lower_bound_F,upper_bound_F
0.5118878125,0.519635625,0.975833455851369943115234375,1,0.1875,0.21875,"[-2.2703556376097693281, -2.2703556376097693281]","[-0.42976309749227453727, -0.42976309749227453727]"
0.5118878125,0.519635625,0.95166691170273988623046875,0.975833455851369943115234375,0.21875,0.25,"[-2.5841136298877542821, -2.5841136298877542821]","[-0.77591281839274850451, -0.77591281839274850451]"
0.5118878125,0.519635625,0.975833455851369943115234375,1,0.21875,0.25,"[-2.339662973323962003, -2.339662973323962003]","[-0.49619338722154665566, -0.49619338722154665566]"
0.5118878125,0.519635625,0.95166691170273988623046875,1,0.25,0.28125,"[-3.1541821984793130262, -3.1541821984793130262]","[-0.060421077400183403894, -0.060421077400183403894]"
0.5118878125,0.519635625,0.95166691170273988623046875,1,0.28125,0.3125,"[-3.2355265110963222774, -3.2355265110963222774]","[-0.13585130292182287515, -0.13585130292182287515]"
0.5118878125,0.519635625,0.95166691170273988623046875,1,0.3125,0.375,"[-3.498915001906185207, -3.498915001906185207]","[-0.12470968521797717865, -0.12470968521797717865]"
0.5118878125,0.519635625,0.95166691170273988623046875,1,0.375,0.5,"[-4.0363927209275463071, -4.0363927209275463071]","[-0.13688056404886370099, -0.13688056404886370099]"
0.5118878125,0.519635625,0.95166691170273988623046875,1,0.5,0.75,"[-5.1482927828065303544, -5.1482927828065303544]","[-0.26058149455613616174, -0.26058149455613616174]"
0.5118878125,0.519635625,0.95166691170273988623046875,1,0.75,1,"[-6.0572190801522829418, -6.0572190801522829418]","[-1.1825613719585821304, -1.1825613719585821304]"
0.519635625,0.5273834375,0.93300004446231928204345703125,0.966500022231159641021728515625,0,0.0625,"[-2.8101069570221333116, -2.8101069570221333116]","[-0.22434587696350891117, -0.22434587696350891117]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0,0.03125,"[-2.3586471494377092561, -2.3586471494377092561]","[-0.019345402879016287967, -0.019345402879016287967]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.03125,0.0625,"[-2.3644983219951298814, -2.3644983219951298814]","[-0.034332181654403964854, -0.034332181654403964854]"
0.519635625,0.5273834375,0.93300004446231928204345703125,0.966500022231159641021728515625,0.0625,0.125,"[-2.8572416085553071774, -2.8572416085553071774]","[-0.3005306736094843223, -0.3005306736094843223]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.0625,0.09375,"[-2.3866423009482047313, -2.3866423009482047313]","[-0.060969131600644627111, -0.060969131600644627111]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.09375,0.125,"[-2.4212159998677136308, -2.4212159998677136308]","[-0.097091377024449226907, -0.097091377024449226907]"
0.519635625,0.5273834375,0.93300004446231928204345703125,0.966500022231159641021728515625,0.125,0.1875,"[-2.94940613312226807, -2.94940613312226807]","[-0.40539219795398778734, -0.40539219795398778734]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.125,0.1875,"[-2.6406179077991018822, -2.6406179077991018822]","[-0.022682913861360870511, -0.022682913861360870511]"
0.519635625,0.5273834375,0.93300004446231928204345703125,0.966500022231159641021728515625,0.1875,0.25,"[-3.0715561776497515289, -3.0715561776497515289]","[-0.53184954990996169411, -0.53184954990996169411]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.1875,0.25,"[-2.7524144675640527247, -2.7524144675640527247]","[-0.14142683742810066572, -0.14142683742810066572]"
